# NFAP Frequency Allocation Data
# Source: Indian Frequency Allocation Chart
# Country: India
# Last Updated: 2025-01-01
""
Band Name,Band Start Freq (Hz),Band End Freq (Hz),Allocation Start Freq (Hz),Allocation End Freq (Hz),Frequency Range (Readable),Service,Priority,Usage,Amateur Band,Level,Region Specific
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,MARITIME MOBILE,primary,Marine communication,,5.64   5.67B,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,BROADCASTING,primary,Broadcasting services,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AERONAUTICAL RADIONAVIGATION,primary,Aircraft navigation,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AERONAUTICAL RADIONAVIGATION,primary,Aircraft navigation,,Radionavigation,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,BROADCASTING,primary,Broadcasting services,,Aeronautical,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
LF - Low Frequency (130-285 kHz),130000,285000,130000,285000,130.000 kHz - 285.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME RADIONAVIGATION,primary,Marine navigation,,Radionavigation,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME,primary,Maritime,,Radionavigation,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME RADIONAVIGATION,secondary,Marine navigation,,Aeronautical Radionavigation   Ind 1,
MF - Medium Frequency (275 kHz - 0 MHz),275000,415000,275000,415000,275.000 kHz - 415.000 kHz,MARITIME,primary,Maritime,,Aeronautical,
